timestamp,run_id,scenario,step,target,status,duration_sec,message
2026-07-22T16:13:13+09:00,20260722-161259,provision-dr,terraform_apply_02-eks,02-eks,SUCCESS,7,"completed"
2026-07-22T16:13:15+09:00,20260722-161259,provision-dr,update_kubeconfig,eks-b,SUCCESS,0,"completed"
2026-07-22T16:13:15+09:00,20260722-161259,provision-dr,check_eks_b_context,eks-b,SUCCESS,0,"completed"
2026-07-22T16:13:16+09:00,20260722-161259,provision-dr,check_eks_b_cluster,eks-b,SUCCESS,1,"completed"
2026-07-22T16:13:17+09:00,20260722-161259,provision-dr,wait_eks_b_nodes,eks-b,SUCCESS,1,"completed"
2026-07-22T16:13:20+09:00,20260722-161259,provision-dr,terraform_init_03-platform,03-platform,SUCCESS,3,"completed"
2026-07-22T16:13:24+09:00,20260722-161259,provision-dr,terraform_apply_03-platform,03-platform,SUCCESS,4,"completed"
2026-07-22T16:13:27+09:00,20260722-161259,provision-dr,terraform_init_04-eks-workloads,04-eks-workloads,SUCCESS,3,"completed"
2026-07-22T16:13:34+09:00,20260722-161259,provision-dr,terraform_apply_04-eks-workloads,04-eks-workloads,SUCCESS,7,"completed"
2026-07-22T16:13:36+09:00,20260722-161259,provision-dr,terraform_init_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,2,"completed"
2026-07-22T16:14:04+09:00,20260722-161259,provision-dr,terraform_apply_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,28,"completed"
2026-07-22T16:14:04+09:00,20260722-161259,provision-dr,wait_argocd_cluster_secret,onprem-argocd,SUCCESS,0,"completed"
2026-07-22T16:14:05+09:00,20260722-161259,provision-dr,apply_applicationsets,onprem-argocd,SUCCESS,1,"completed"
2026-07-22T16:29:29+09:00,20260722-161259,provision-dr,wait_eks_b_gitops_applications,eks-b,FAILED,924,"exit_code=1"
2026-07-22T16:29:29+09:00,20260722-161259,provision-dr,total,provision-dr,FAILED,990,"EKS-B GitOps Application 배포 실패"
2026-07-22T16:30:43+09:00,20260722-163043,switch-to-onprem,check_context,eks-a,SUCCESS,0,"completed"
2026-07-22T16:30:43+09:00,20260722-163043,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:30:43+09:00,20260722-163043,switch-to-onprem,check_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:30:43+09:00,20260722-163043,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
